"","property_id","property_type","count_bed","property_area","area_unit","property_price","lat","long","address"
"1",1,"house",5,9296,"square feet",5650000,35.5339082494098,-80.90946565404,"107 Eastham, Ct, Mooresville, NC 28117"
"2",2,"house",6,5604,"square feet",3950000,35.5220074442044,-80.9532331516447,"512 Stonemarker Rd, Mooresville, NC 28117"
"3",3,"house",4,4759,"square feet",3395000,35.49905646875,-80.952249661439,"124 Channel Point Ln, Mooresville, NC 28117"
"4",4,"house",4,4378,"square feet",2500000,35.4912124652736,-80.9020104154113,"20540 Bethelwood Ln, Cornelius, NC 28031"
"5",5,"lot",0,0.695,"acres",2490000,35.4563680173327,-80.9388724231654,"18047 Mollypop ln, Cornelius NC 28031"
"6",6,"house",5,7353,"square feet",3825000,35.4973781890395,-80.9114293767816,"21213 Island Forest dr , Cornelius, NC 28031"
"7",7,"lot",0,0.67,"acres",1999900,35.5056712548628,-80.890707065138,"22554 John Gamble Rd, Cornelius, NC 28031"
"8",8,"house",6,9874,"square feet",6985000,35.5225949366988,-80.9365399939733,"168 Broad Sound Pl, Mooresville, NC 28117"
"9",9,"house",5,7252,"square feet",2350000,35.5348816731081,-80.924150530207,"141 Jeremy Point Pl. Mooresvielle, NC 28117"
"10",10,"house",4,4106,"square feet",3680000,35.4783063802458,-80.9411192056176,"19040 Brigadoon Pl. Cornelius, NC 28031"
